cuestionario,factor,campo,genero,filtro_a,p1edad,edadr,filtro_b,filtro_c,voluntad,p2,p2_1,p2_1_1,p2_2,p2_2_1,p3,p4,p5,p6,p7,p7_1,p7_2,p7_2_1,p7_2_2,p7_2_3,p7_2_4,p7_2_5,p7_2_6,p7_3,p7_3_1,p7_3_2,p7_3_3,p7_3_4,p8,p9estrato,p10,p11,p11_1,p12,p12_1,p13,p14,p15,p15_1,p16,p16_1,p17,p17_v2_1,p17_v2_2,p17_v2_3,p17_v3,p17_v3_otro,p17_v4,p17_v5,p17_v6,p17_v7,p17_v7_1,p18,p18_p1,p18_p2,p18_p3,p18_p4,p18_c1,p19_1,p19comuna,p20,p20_1,p20_1_otro,p21,p22,p23,p23_1,p23_1_1,p23_2,p23_2_1,p23_2_2,p23_2_3,p24,p25,p25_1,p26,p27,p27_1,p27_otro,p28p28_1,p28p28_2,p28p28_3,p28p28_4,p28p28_5,p28p28_6,p28p28_7,p28p28_8,p28p28_9,p29,p29_otro,p30,p30_otro,p31,p32,p33,p33_otro,p34,p34_otro,p35,p35_otro,p36,p37,p38p38_1,p38p38_2,p38p38_3,p38p38_4,p38p38_5,p38p38_6,p38p38_7,p38p38_99,p38_99_otro,p39,p39_1,p39_otro,p39_1_2,p39_1_1,p39_1_otro,p39_2,p40,p41,p47latitude,p47longitude,p47altitude,p47accuracy
363,3902.19702075,Presencial en hogares,Masculino,Si,38,35 - 44 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Universitario,No,Trabajar,Trabajador independiente o por cuenta propia,De lunes a domingo,,,,,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 5,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,"Sí, motocicleta","Si, motocicleta",0,,1,1,Moto 4T,,125 cc,,Gasolina corriente,,2023,Medellín,Conductor,Algunas veces,1,35,,,,,,Medellín,Comuna 11 - Laureles Estadio,Medellín,Comuna 6 - Doce de Octubre,,Uno,Entre 16 y 20 km,Ir a trabajar,,,,,,,Muy satisfecho,La comodidad (confort),El tiempo de viaje,Nada me disgusta,Tiempos de espera largos o inciertos,Tiempos de viaje largos o inciertos,,4,3,3,3,3,3,3,3,4,Moto 4T,,Es el medio de transporte que utiliza,,Construcciones y obras civiles o demoliciones,Alto,Moto 4T particular,,Bicicleta,,Condiciones climáticas,,Nada influyente,Nada influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,6.3012888,-75.5486778,1628.5,10.711
364,6745.892454,Presencial en hogares,Femenino,Si,28,25 - 34 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Técnico profesional,No,Trabajar,"Profesional independiente (por ejemplo, por prestación de servicios)",De lunes a sábado,,,,,,,,,,,,Con otros familiares diferentes a sus hijos o pareja,Estrato 5,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,"Sí, motocicleta","Si, motocicleta",0,,1,1,Moto 4T,,125 cc,,Gasolina extra,,2023,Medellín,Conductor,Nunca,,40,,,,,,Medellín,Comuna 11 - Laureles Estadio,Medellín,Comuna 5 - Castilla,,Uno,Entre 16 y 20 km,Ir a trabajar,,,,,,,Satisfecho,El costo (sus posibilidades económicas o capacidad adquisitiva),La percepción de seguridad,Nada me disgusta,Tiempos de viaje largos o inciertos,,,3,3,3,3,3,3,3,2,3,Moto 4T,,Es el medio de transporte que utiliza,,Incineración de residuos,Alto,Moto 4T particular,,Caminata,,"Falta de infraestructura (andenes, ciclorutas, etc.)",,Nada influyente,Nada influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.301293,-75.5486518,1628.5,11.667
365,6745.892454,Presencial en hogares,Femenino,Si,54,45 - 54 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Tecnológico,No,Es pensionado(a),,,,,,,,,,,,,,Con sus hijos y otros familiares,Estrato 5,Menos de 100 mil pesos,No,,Ninguna dificultad,,No,No,1,0,3,0,Taxi,,,,,,,,,,,40,,,,,,Medellín,Comuna 11 - Laureles Estadio,Medellín,Comuna 10 - La Candelaria,,Uno,Entre 16 y 20 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,,,,,Ni satisfecho ni insatifecho,El tiempo de viaje,,La falta de autonomía o control sobre el viaje,Exposición a condiciones climáticas desfavorables (lluvia o calor),,,2,2,3,3,3,3,4,2,3,Automóvil,,Otra razón ¿Cuál?,Porque no se manejar,Los vehículos que circulan en la ciudad,Alto,Automóviles particulares,,Caminata,,"Falta de infraestructura (andenes, ciclorutas, etc.)",,Nada influyente,Nada influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.3012794,-75.5486771,1628.5,10.915
366,6745.892454,Presencial en hogares,Femenino,Si,46,45 - 54 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Secundaria completa,No,Hacer trabajo doméstico en su propio hogar,,,,,,,,,,,,,,Con otros familiares diferentes a sus hijos o pareja,Estrato 5,Menos de 100 mil pesos,No,,Ninguna dificultad,,No,No,1,0,2,0,"Automóvil en plataforma (Ejemplo:Uber, Yango, Didi, InDriver)",,,,,,,,,,,50,,,,,,Medellín,Comuna 11 - Laureles Estadio,Medellín,Comuna 10 - La Candelaria,,Uno,Entre 11 y 15 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,,,,,Ni satisfecho ni insatifecho,La distancia que debe recorrer,La comodidad (confort),Nada me disgusta,Esfuerzo físico agotador,Multitud de personas,,4,Muy importante,4,4,4,Muy importante,4,4,4,Automóvil,,Otra razón ¿Cuál?,No tengo experiencia alguna en manejar,Los vehículos que circulan en la ciudad,Moderado,Camión pesado,,Caminata,,Costos altos,,Nada influyente,Nada influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.3012891,-75.5486834,1628.5,11.066
367,4302.112164,Presencial en hogares,Femenino,Si,63,55 - 64 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Secundaria completa,No,Trabajar,Trabajador independiente o por cuenta propia,De lunes a viernes,,,,,,,,,,,,Con otros familiares diferentes a sus hijos o pareja,Estrato 5,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,Taxi,,,,,,,,,,,30,,,,,,Medellín,Comuna 12 - La América,Medellín,Comuna 10 - La Candelaria,,Uno,Entre 6 y 10 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,,,,,Satisfecho,La autonomía o control sobre el viaje,,El tiempo de espera,Ser víctima de robo o atraco,Ser víctima de situaciones de acoso o violencia,,3,Nada Importante,Muy importante,3,Nada Importante,Nada Importante,Nada Importante,Nada Importante,Nada Importante,Automóvil,,Costos asociados,,Vertederos (basureros) y rellenos sanitarios,Moderado,Camión pesado,,Caminata,,Costos altos,,Nada influyente,Nada influyente,No,No,No,No,No,No,No,No,,,,,,,,Si,Mujer,No,6.2319014,-75.6147421,1637.699951,5
368,4302.112164,Presencial en hogares,Femenino,Si,65,65 - 80 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Secundaria completa,No,Hacer trabajo doméstico en su propio hogar,,,,,,,,,,,,,,Sola(o),Estrato 5,Entre 300 mil y 500 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,Taxi,,,,,,,,,,,40,,,,,,Medellín,Comuna 12 - La América,Medellín,Comuna 11 - Laureles Estadio,,Uno,Menos de 5 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,,,,,Muy satisfecho,El tiempo de viaje,,El tiempo de espera,Exposición a condiciones climáticas desfavorables (lluvia o calor),,,Nada Importante,Nada Importante,Muy importante,Muy importante,Muy importante,3,Nada Importante,Nada Importante,Nada Importante,Automóvil,,Costos asociados,,Incineración de residuos,Bajo,Camión pesado,,Caminata,,Inseguridad,,Muy influyente,Muy influyente,No,Si,Si,No,No,No,No,No,,En una buseta o colectivo,,,"Cambió de lugar (por ejemplo, caminó hacía otro paradero, o se cambio de puesto en el bus)",Se bajó del modo de transporte,,Si,Mujer,No,6.2320022,-75.6147384,1635.900024,11.594
369,4302.112164,Presencial en hogares,Femenino,Si,72,65 - 80 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Tecnológico,No,Trabajar,Patrón o empleador,De lunes a viernes,,,,,,,,,,,,Con su pareja,Estrato 5,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,Taxi,,,,,,,,,,,40,,,,,,Medellín,Comuna 12 - La América,Medellín,Comuna 11 - Laureles Estadio,,Dos,Menos de 5 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,,,,,Muy satisfecho,La percepción de seguridad,,La vulnerabilidad frente accidentes de tránsito,Multitud de personas,,,Nada Importante,Nada Importante,Muy importante,Muy importante,Nada Importante,Nada Importante,Nada Importante,Nada Importante,Nada Importante,Automóvil en plataforma (Ejemplo:Uber),,No hay cobertura del modo de transporte,,Uso de aerosoles y productos químicos,Moderado,Automóviles de plataformas y taxis,,Caminata,,Inseguridad,,3,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.2320049,-75.6147513,1637.699951,12.267
370,5686.305390857143,Presencial en hogares,Masculino,Si,48,45 - 54 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Universitario,No,Trabajar,"Empleado en empresa, gobierno u organización",De lunes a viernes,,,,,,,,,,,,Con su pareja,Estrato 6,Entre 300 mil y 500 mil pesos,No,,Ninguna dificultad,,"Sí, motocicleta","Si, motocicleta",2,1,1,1,Moto 4T,,Entre 150 cc y 250 cc,,Gasolina corriente,,2024,Medellín,Conductor,Nunca,,35,,,,,,Medellín,Comuna 14 - El Poblado,Itagüí,No sabe. ¿A dónde se dirige?,Itagüí,Uno,Entre 6 y 10 km,Ir a trabajar,,,,,,,Muy satisfecho,La distancia que debe recorrer,El tiempo de viaje,La exposición a condiciones climáticas desfavorables (lluvia o calor),Congestión de tráfico,,,Nada Importante,3,Muy importante,Muy importante,3,3,Nada Importante,2,2,Moto 4T,,Es el medio de transporte que utiliza,,Incineración de residuos,Bajo,Camión pesado,,Caminata,,Inseguridad,,Nada influyente,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,6.2319393,-75.6146536,1635.900024,11.037
371,3324.8198230000003,Presencial en hogares,Masculino,Si,18,18 - 24 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Técnico profesional,No,Estudiar,,,,,,,,,De lunes a viernes,,,,,"Con otras personas que no son de su familia (amigos, compañeros)",Estrato 4,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,No,No,1,0,1,0,Metroplus,,,,,,,,,,,,15,10,40,10,,Medellín,Comuna 16 - Belén,Medellín,Comuna 7 - Robledo,,Uno,Entre 6 y 10 km,Ir a estudiar,,,,,,,Muy satisfecho,La comodidad (confort),El tiempo de viaje,Nada me disgusta,Ser víctima de situaciones de acoso o violencia,Tiempos de viaje largos o inciertos,,Nada Importante,Nada Importante,4,Muy importante,Nada Importante,Nada Importante,Nada Importante,Nada Importante,Nada Importante,Metroplús,,Es el medio de transporte que utiliza,,Vertederos (basureros) y rellenos sanitarios,Nulo,Camión pesado,,Caminata,,Inseguridad,,Nada influyente,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,6.2319959,-75.6147457,1635.900024,11.476
372,3902.19702075,Presencial en hogares,Masculino,Si,67,65 - 80 años,No,Si,Si,Si,Antioquia,Puerto Nare,,,"Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a)",No,Universitario,No,Es pensionado(a),,,,,,,,,,,,,,Con su pareja y otros familiares,Estrato 5,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,No,"Si, auto",0,,0,,Taxi,,,,,,,,,,,10,,,,,,Medellín,Comuna 11 - Laureles Estadio,Medellín,Comuna 11 - Laureles Estadio,,Uno,Menos de 5 km,A acompañar o llevar a alguien,Una niña o niño,Un adolescente/jóven,Atender asuntos médicos,"Asistir a un centro educativo (colegio, jardín infantil)",,,Satisfecho,La percepción de seguridad,La comodidad (confort),El tiempo de viaje,Tiempos de espera largos o inciertos,Multitud de personas,,Muy importante,Nada Importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,"Bus, colectivo, busetas",,Otra razón ¿Cuál?,Por seguridad,Vertederos (basureros) y rellenos sanitarios,Muy alto,"Bus, colectivo, busetas",,Bicicleta,,Otro,No los usan por comodidad ( pereza),4,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,6.2371707,-75.5580944,1600.099976,4.875
373,6647.907968,Presencial por intersección,Femenino,Si,23,18 - 24 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Tecnológico,No,Trabajar,"Empleado en empresa, gobierno u organización",De lunes a viernes,,,,,,,,,,,,Con otros familiares diferentes a sus hijos o pareja,Estrato 5,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,Metroplus,,,,,,,,,,,,5,5,35,10,,Medellín,Comuna 16 - Belén,Sabaneta,No sabe. ¿A dónde se dirige?,Sabaneta,Uno,Entre 16 y 20 km,Ir a trabajar,,,,,,,Muy satisfecho,La comodidad (confort),La distancia que debe recorrer,Nada me disgusta,Congestión de tráfico,,,2,Nada Importante,Muy importante,Muy importante,Nada Importante,Nada Importante,Nada Importante,Nada Importante,Nada Importante,Metroplús,,Es el medio de transporte que utiliza,,Vertederos (basureros) y rellenos sanitarios,Bajo,Camión pesado,,Caminata,,"Falta de infraestructura (andenes, ciclorutas, etc.)",,Muy influyente,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.2661909,-75.5537147,1595.800049,11.781
374,6647.907968,Presencial por intersección,Femenino,Si,30,25 - 34 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Tecnológico,No,Trabajar,"Profesional independiente (por ejemplo, por prestación de servicios)",De lunes a sábado,,,,,,,,,,,,Con sus hijos y otros familiares,Estrato 5,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,Moto 4T,,No sabe / No responde,,No sabe/no responde,,No sabe / No responde - NO LEA,Medellín,Acompañante (pasajero o parrilero),Nunca,,30,,,,,,Medellín,Comuna 16 - Belén,Medellín,Comuna 11 - Laureles Estadio,,Cuatro o más,Entre 6 y 10 km,Ir a trabajar,,,,,,,Muy satisfecho,La distancia que debe recorrer,,La exposición a condiciones climáticas desfavorables (lluvia o calor),Tiempos de viaje largos o inciertos,Congestión de tráfico,,3,Nada Importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Nada Importante,3,Moto 4T,,Es el medio de transporte que utiliza,,Vertederos (basureros) y rellenos sanitarios,Bajo,Camión pesado,,Bicicleta,,"Falta de infraestructura (andenes, ciclorutas, etc.)",,Muy influyente,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.2661915,-75.5537221,1595.800049,11.476
375,2799.8482720000006,Presencial por intersección,Masculino,Si,54,45 - 54 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Técnico profesional,No,Trabajar,"Profesional independiente (por ejemplo, por prestación de servicios)",De lunes a sábado,,,,,,,,,,,,Con otros familiares diferentes a sus hijos o pareja,Estrato 5,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,Metroplus,,,,,,,,,,,,5,5,5,10,,Medellín,Comuna 16 - Belén,Medellín,Comuna 10 - La Candelaria,,Dos,Menos de 5 km,Ir a estudiar,,,,,,,Muy satisfecho,La comodidad (confort),,Nada me disgusta,Exposición a condiciones climáticas desfavorables (lluvia o calor),,,Nada Importante,Nada Importante,Muy importante,Muy importante,Nada Importante,2,2,Nada Importante,Nada Importante,Caminata,,Nivel de inseguridad,,Incineración de residuos,Bajo,Camión pesado,,Caminata,,Inseguridad,,Muy influyente,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,6.2661951,-75.5537203,1595.800049,11.614
376,6647.907968,Presencial por intersección,Femenino,Si,80,65 - 80 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Secundaria completa,No,Hacer trabajo doméstico en su propio hogar,,,,,,,,,,,,,,Con sus hijos y otros familiares,Estrato 5,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,Metroplus,,,,,,,,,,,,5,5,15,10,,Medellín,Comuna 16 - Belén,Medellín,Comuna 10 - La Candelaria,,Dos,Menos de 5 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,,,,,Satisfecho,La comodidad (confort),La distancia que debe recorrer,Nada me disgusta,Exposición a condiciones climáticas desfavorables (lluvia o calor),Tiempos de espera largos o inciertos,,Nada Importante,Nada Importante,Muy importante,Muy importante,Nada Importante,Nada Importante,Nada Importante,Nada Importante,2,Metroplús,,Es el medio de transporte que utiliza,,Los vehículos que circulan en la ciudad,Bajo,Camión pesado,,Caminata,,Inseguridad,,Muy influyente,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.2661898,-75.5537199,1595.800049,11.59
377,3324.8198230000003,Presencial por intersección,Masculino,Si,60,55 - 64 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Secundaria completa,No,Trabajar,"Profesional independiente (por ejemplo, por prestación de servicios)",De lunes a viernes,,,,,,,,,,,,Sola(o) con sus hijas o hijos,Estrato 4,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,Metroplus,,,,,,,,,,,,15,5,20,10,,Medellín,Comuna 16 - Belén,Medellín,Comuna 10 - La Candelaria,,Uno,Entre 6 y 10 km,Ir a trabajar,,,,,,,Muy satisfecho,El tiempo de viaje,,Nada me disgusta,Exposición a condiciones climáticas desfavorables (lluvia o calor),,,Nada Importante,Nada Importante,Muy importante,Muy importante,3,3,Nada Importante,Nada Importante,Nada Importante,Metroplús,,Es el medio de transporte que utiliza,,Vertederos (basureros) y rellenos sanitarios,Nulo,Camión pesado,,Caminata,,Inseguridad,,Muy influyente,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,6.2661776,-75.5537127,1595.800049,11.476
378,4736.6344272,Presencial por intersección,Femenino,Si,54,45 - 54 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Secundaria completa,No,Trabajar,"Profesional independiente (por ejemplo, por prestación de servicios)",De lunes a sábado,,,,,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 4,Menos de 100 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,Metroplus,,,,,,,,,,,,10,5,35,10,,Medellín,Comuna 16 - Belén,Medellín,Comuna 10 - La Candelaria,,Dos,Entre 6 y 10 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,,,,,Satisfecho,La comodidad (confort),La distancia que debe recorrer,Nada me disgusta,Exposición a condiciones climáticas desfavorables (lluvia o calor),Ser víctima de situaciones de acoso o violencia,,Nada Importante,Nada Importante,Muy importante,Muy importante,Nada Importante,Nada Importante,Nada Importante,Nada Importante,Nada Importante,Metroplús,,Es el medio de transporte que utiliza,,Vertederos (basureros) y rellenos sanitarios,Bajo,Camión pesado,,Bicicleta,,Inseguridad,,3,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.2661839,-75.5537223,1595.800049,11.926
379,4736.6344272,Presencial por intersección,Femenino,Si,61,55 - 64 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Secundaria completa,No,Trabajar,Trabajador independiente o por cuenta propia,De lunes a sábado,,,,,,,,,,,,Sola(o) con sus hijas o hijos,Estrato 4,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,Metroplus,,,,,,,,,,,,15,10,45,15,,Medellín,Comuna 16 - Belén,Medellín,Comuna 10 - La Candelaria,,Dos,Entre 6 y 10 km,Ir a trabajar,,,,,,,Muy satisfecho,La comodidad (confort),La distancia que debe recorrer,Nada me disgusta,Tiempos de espera largos o inciertos,Congestión de tráfico,,Nada Importante,Nada Importante,Muy importante,Muy importante,2,2,Nada Importante,Nada Importante,Nada Importante,Automóvil,,Costos asociados,,Empresas manufactureras,Muy alto,Moto de plataforma,,Caminata,,Inseguridad,,Muy influyente,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.2661862,-75.5537213,1595.800049,12.363
380,3324.8198230000003,Presencial por intersección,Masculino,Si,37,35 - 44 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Universitario,No,Trabajar,"Profesional independiente (por ejemplo, por prestación de servicios)",De lunes a sábado,,,,,,,,,,,,Con su pareja,Estrato 4,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,Metroplus,,,,,,,,,,,,15,5,20,15,,Medellín,Comuna 16 - Belén,Medellín,Comuna 11 - Laureles Estadio,,Dos,Menos de 5 km,Ir a trabajar,,,,,,,Muy satisfecho,La comodidad (confort),La autonomía o control sobre el viaje,Nada me disgusta,Exposición a condiciones climáticas desfavorables (lluvia o calor),,,Nada Importante,Nada Importante,4,Muy importante,4,3,3,Nada Importante,Nada Importante,Automóvil,,Costos asociados,,Empresas manufactureras,Bajo,Camión pesado,,Caminata,,"Falta de infraestructura (andenes, ciclorutas, etc.)",,3,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,6.2661834,-75.5537228,1595.800049,12.072
381,4736.6344272,Presencial por intersección,Femenino,Si,62,55 - 64 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Técnico profesional,No,Está desempleado,,,,,,,,,,,,,,Sola(o) con sus hijas o hijos,Estrato 4,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,"Bus, colectivo, buseta",,,,,,,,,,,,15,5,20,5,,Medellín,Comuna 16 - Belén,Medellín,Comuna 10 - La Candelaria,,Uno,Menos de 5 km,Ir a trabajar,,,,,,,Satisfecho,La comodidad (confort),La distancia que debe recorrer,Las condiciones de incomodidad,Exposición a condiciones climáticas desfavorables (lluvia o calor),,,Nada Importante,Nada Importante,Muy importante,Muy importante,2,Nada Importante,Nada Importante,Nada Importante,Nada Importante,Automóvil,,Costos asociados,,Los vehículos que circulan en la ciudad,Alto,Camión pesado,,Caminata,,Inseguridad,,4,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.2661689,-75.553711,1595.699951,11.476
382,4926.66,Presencial por intersección,Masculino,Si,38,35 - 44 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Secundaria incompleta,No,Trabajar,Trabajador independiente o por cuenta propia,De lunes a sábado,,,,,,,,,,,,Sola(o),Estrato 3,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,Metroplus,,,,,,,,,,,,15,5,40,10,,Medellín,Comuna 16 - Belén,Sabaneta,No sabe. ¿A dónde se dirige?,Sabaneta,Cuatro o más,Entre 11 y 15 km,Ir a trabajar,,,,,,,Muy satisfecho,La comodidad (confort),La distancia que debe recorrer,Nada me disgusta,Exposición a condiciones climáticas desfavorables (lluvia o calor),,,Muy importante,Nada Importante,Muy importante,Muy importante,2,3,3,3,3,Moto 4T,,Nivel de inseguridad,,Construcciones y obras civiles o demoliciones,Bajo,Automóviles de plataformas y taxis,,Caminata,,Inseguridad,,3,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,6.2661848000000004,-75.5537283,1595.800049,11.471
383,3324.8198230000003,Presencial por intersección,Masculino,Si,51,45 - 54 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Secundaria completa,No,Trabajar,Trabajador independiente o por cuenta propia,De lunes a domingo,,,,,,,,,,,,Sola(o),Estrato 4,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,"Sí, motocicleta","Si, motocicleta",1,1,1,1,Moto 4T,,125 cc,,Gasolina corriente,,2012,Medellín,Conductor,Nunca,,15,,,,,,Medellín,Comuna 16 - Belén,Medellín,Comuna 11 - Laureles Estadio,,Cuatro o más,Menos de 5 km,Ir a trabajar,,,,,,,Muy satisfecho,El costo (sus posibilidades económicas o capacidad adquisitiva),El tiempo de viaje,Nada me disgusta,Costos altos,,,Muy importante,4,Muy importante,Muy importante,3,3,3,3,3,Moto 4T,,Es el medio de transporte que utiliza,,Construcciones y obras civiles o demoliciones,Moderado,Automóviles particulares,,Caminata,,Inclinación del terreno,,Nada influyente,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,6.2661801,-75.5537222,1595.699951,12.074
384,6234.031860000001,Presencial por intersección,Femenino,Si,49,45 - 54 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Tecnológico,No,Trabajar,"Profesional independiente (por ejemplo, por prestación de servicios)",De lunes a sábado,,,,,,,,,,,,Con su pareja,Estrato 5,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,No,No,0,,1,0,Moto 4T,,125 cc,,Gasolina corriente,,No sabe / No responde - NO LEA,Medellín,Acompañante (pasajero o parrilero),Nunca,,40,,,,,,Medellín,Comuna 14 - El Poblado,Medellín,Comuna 10 - La Candelaria,,Dos,Entre 6 y 10 km,Ir a trabajar,,,,,,,Muy satisfecho,La comodidad (confort),,Nada me disgusta,Exposición a condiciones climáticas desfavorables (lluvia o calor),Congestión de tráfico,,3,3,Muy importante,Muy importante,Muy importante,4,4,4,4,Moto 4T,,Es el medio de transporte que utiliza,,Construcciones y obras civiles o demoliciones,Moderado,Camión pesado,,Caminata,,"Falta de infraestructura (andenes, ciclorutas, etc.)",,Muy influyente,Muy influyente,Si,Si,Si,No,Si,No,No,No,,En una buseta o colectivo,,,Se bajó del modo de transporte,,,No,Mujer,No,6.2661785,-75.5537211,1595.800049,12.109
385,2799.8482720000006,Presencial por intersección,Masculino,Si,52,45 - 54 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Secundaria completa,No,Trabajar,Patrón o empleador,De lunes a domingo,,,,,,,,,,,,Con otros familiares diferentes a sus hijos o pareja,Estrato 5,Entre 300 mil y 500 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,Metroplus,,,,,,,,,,,,5,5,25,10,,Medellín,Comuna 16 - Belén,Medellín,Comuna 10 - La Candelaria,,Dos,Entre 6 y 10 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,,,,,Muy satisfecho,La comodidad (confort),,Nada me disgusta,Congestión de tráfico,,,Nada Importante,Nada Importante,Nada Importante,Muy importante,Muy importante,Nada Importante,Nada Importante,Nada Importante,4,Metroplús,,Es el medio de transporte que utiliza,,Vertederos (basureros) y rellenos sanitarios,Bajo,Automóviles particulares,,Caminata,,Inseguridad,,Muy influyente,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,6.2661863,-75.5537259,1595.800049,11.476
